name,category,metallic,roughness,base_color_hint,keywords,notes
polished steel,metal,1.0,"0.1-0.2","0.7, 0.7, 0.7","steel chrome mirror reflective","Add micro-scratch roughness map for realism. Mirror-like. Colored reflections come from environment."
brushed steel,metal,1.0,"0.4-0.6","0.65, 0.65, 0.65","steel brushed anisotropic","Anisotropic roughness if DCC supports. Directional grain via roughness map."
raw iron,metal,1.0,"0.7-0.9","0.4, 0.4, 0.4","iron raw matte dark","Matte metallic. No reflections visible."
rusted iron,metal,"1.0->0.0 mask","0.7-0.9","0.55, 0.3, 0.15","rust rusty corroded oxidized","Metallic mask (metallic=1 under clean metal, =0 over rust). Color shifts orange-brown."
gold,metal,1.0,"0.1-0.3","1.0, 0.77, 0.33","gold yellow precious","Colored reflections from metallic base color. Not a coating - it IS the metal."
copper,metal,1.0,"0.2-0.5","0.96, 0.63, 0.5","copper bronze warm","Patina via roughness + color mask. Greenish patina = metallic 0, roughness 0.8, green tint."
glossy plastic,dielectric,0.0,"0.1-0.3","any solid","plastic glossy shiny smooth ABS","IOR Level ~0.5 in Blender 4.x Principled. Hard edge highlights."
matte plastic,dielectric,0.0,"0.6-0.9","any solid","plastic matte soft","Soft diffuse with subtle sheen. No sharp highlights."
rubber,dielectric,0.0,"0.8-1.0","0.1, 0.1, 0.1","rubber tire grip dark","Very rough. Almost no specular. Black or very dark."
dry raw wood oak,dielectric,0.0,"0.65-0.8","0.55, 0.35, 0.18","wood oak lumber grain natural","Grain via normal map. Slight variation in base color for realism."
lacquered wood,dielectric,0.0,"0.05-0.2","0.45, 0.28, 0.12","wood lacquered varnished polished","Clear-coat extension (KHR_materials_clearcoat) for top gloss layer."
concrete rough,dielectric,0.0,"0.8-0.95","0.5, 0.5, 0.5","concrete cement stone rough","Cavity AO in ORM R-channel. Normal map for surface texture."
painted metal,dielectric,0.0,"0.3-0.6","any solid","painted metal coated automotive","Chips = metallic mask (scratches expose metal = metallic 1.0). Normal map for surface."
glass transparent,dielectric,0.0,"0.0-0.1","1.0, 1.0, 1.0","glass transparent window clear","Transmission=1.0; IOR=1.45. glTF: KHR_materials_transmission + KHR_materials_ior."
glass frosted,dielectric,0.0,"0.3-0.6","0.95, 0.95, 0.98","glass frosted opaque diffuse","Transmission=0.8-0.9 + higher roughness scatters refraction."
emissive led panel,dielectric,0.0,0.5,"any color","emissive led screen glow light","Emission Strength 5-20 in Blender. glTF KHR_materials_emissive_strength. HDR render."
human skin,dielectric,0.0,"0.3-0.5","peach or dark brown","skin human face body","Subsurface baked to base color for glTF (no native SSS). Fine pore detail via normal map."
fabric velvet,dielectric,0.0,"0.7-0.9","any","velvet fabric cloth soft","KHR_materials_sheen extension for glTF. High roughness. Sheen color = bright version of base."
ceramic glazed,dielectric,0.0,"0.05-0.2","any solid","ceramic porcelain glazed tile","Similar to lacquered wood. IOR ~1.55."
stone marble,dielectric,0.0,"0.3-0.5","white with gray veins","marble stone polished","Veins via base color texture. Moderate roughness. AO in cavities."
