format,carries_geo,carries_uv,carries_pbr,carries_rig,carries_anim,carries_morph,up_axis,unit,lossy,assimp_import,assimp_export,best_use,notes
glTF 2.0 / GLB,tri only,multi-channel,native metal-rough,yes,yes TRS,yes,+Y,meters,no,full,full (glb2/gltf2),"Runtime delivery, web, AR, Godot","GPU-ready. The JPEG of 3D. GLB packs JSON+binary+textures in one file; GLTF emits sidecar files."
FBX,tri/quad/ngon,multi-channel,partial PBR (FBX7+),yes,yes bezier curves,yes blend shapes,in metadata (usually Y),cm default,no,full,experimental,"DCC-to-game-engine pipeline","UE5/Unity default for mesh+rig+animation. 100x scale gotcha: FBX stores cm, Blender uses m. assimp FBX export is experimental - use Blender."
OBJ+MTL,tri/quad/ngon,1 channel typical,Phong MTL only,no,no,no,assumed +Y,none defined,no,full,yes (obj),"Static mesh interchange, 3D print","No animation, no skeleton, no PBR. MTL = Phong model only (Kd/Ka/Ks). Simple and universal."
STL,tri only,no,none,no,no,no,assumed +Z,none,no,full,yes (stl/stlb),"3D printing, CAD to mesh","Triangle soup only. No UVs, no colors, no materials. Binary STL vertex colors are non-standard."
USD / USDA / USDC,tri/quad/subd,multi-channel,UsdPreviewSurface,yes,yes time-sampled,yes,+Y,cm default,no,experimental,no,"Pipeline hub, film/VFX","Non-destructive layers, variants, instancing. assimp USD support experimental/disabled by default. Use Blender."
Alembic (.abc),tri/poly,yes,none,no,yes baked only,yes,+Y,cm,no,no (use Blender),no,"Sim cache, baked animation","Time-sampled geometry (cloth, fluid, crowd). No materials. Use to transfer baked sims between DCCs."
STEP (.stp/.step),B-Rep exact,no,color optional,no,no,no,+Z (ISO),mm,no (exact),basic,basic (step),"CAD ingress only","Exact B-Rep geometry from mechanical CAD. Must tessellate before real-time use. Not an interchange format."
3MF,tri only,no,color only,no,no,no,assumed +Z,mm,no,good,experimental,"Colored 3D print","ZIP container. Full color + material support for multi-material printing."
PLY,tri/poly,no,no (vertex colors),no,no,no,not standard,none,no,full,yes (ply/plyb),"Research, point clouds","Per-vertex colors. Used in 3D scanning and Gaussian splat point cloud workflows."
Alembic animated,tri/poly,yes,none,no,yes baked keyframes,yes,+Y,cm,no,no,no,"Baked simulation transfer","FBX import then alembic export from Blender: bpy.ops.wm.alembic_export(start=..., end=...) - must set frame range explicitly."
COLLADA (.dae),tri/poly,yes,Phong/Lambert,yes,yes,yes,configurable,none,no,full,yes (collada),"Legacy interchange","Verbose XML. Largely superseded by glTF. Still used by some open-source pipelines."
